"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県・市部－郡部－市区町村別 コード","都道府県・市部－郡部－市区町村別 補助コード","都道府県・市部－郡部－市区町村別","/人口動態総覧","出生数【人】","2500g未満出生数【人】","死亡数【人】","乳児（１歳未満）死亡数【人】","新生児（生後4週未満）死亡数【人】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","妊娠満22週以後の死産数【胎】","早期新生児（生後1週未満）死亡数【人】","婚姻件数【組】","離婚件数【組】"
"2023000000","","2023年","01635","","新得町","","14","1","135","-","-","-","-","-","-","-","20","7"
"2023000000","","2023年","01636","","清水町","","37","4","168","-","-","1","1","-","-","-","18","15"
"2023000000","","2023年","01637","","芽室町","","95","10","237","-","-","-","-","-","-","-","47","17"
"2023000000","","2023年","01638","","中札内村","","21","4","32","-","-","1","-","-","-","-","11","5"
"2023000000","","2023年","01639","","更別村","","20","3","39","-","-","-","-","-","-","-","6","2"
"2023000000","","2023年","01641","","大樹町","","34","6","101","-","-","-","-","-","-","-","22","8"
"2023000000","","2023年","01642","","広尾町","","17","2","110","-","-","-","-","-","-","-","20","5"
"2023000000","","2023年","01643","","幕別町","","116","16","370","-","-","1","1","-","-","-","55","36"
"2023000000","","2023年","01644","","池田町","","16","-","121","-","-","-","-","-","-","-","14","6"
"2023000000","","2023年","01645","","豊頃町","","11","-","49","-","-","-","-","-","-","-","7","2"
"2023000000","","2023年","01646","","本別町","","20","2","112","-","-","-","-","-","-","-","20","7"
"2023000000","","2023年","01647","","足寄町","","30","5","118","-","-","-","-","-","-","-","15","9"
"2023000000","","2023年","01648","","陸別町","","4","-","38","-","-","-","-","-","-","-","5","1"
"2023000000","","2023年","01649","","浦幌町","","16","1","84","-","-","-","-","-","-","-","11","6"
"2023000000","","2023年","01661","","釧路町","","110","10","270","2","1","2","3","3","2","1","59","44"
"2023000000","","2023年","01662","","厚岸町","","38","2","136","-","-","-","1","-","-","-","23","11"
"2023000000","","2023年","01663","","浜中町","","27","2","84","-","-","-","-","-","-","-","21","8"
"2023000000","","2023年","01664","","標茶町","","33","1","118","-","-","-","1","-","-","-","18","13"
"2023000000","","2023年","01665","","弟子屈町","","26","2","119","-","-","-","-","-","-","-","23","5"
"2023000000","","2023年","01667","","鶴居村","","11","1","36","-","-","-","-","-","-","-","4","4"
"2023000000","","2023年","01668","","白糠町","","20","-","130","-","-","1","-","-","-","-","26","16"
"2023000000","","2023年","01691","","別海町","","76","3","184","-","-","3","-","1","1","-","54","22"
"2023000000","","2023年","01692","","中標津町","","109","11","256","-","-","3","2","1","1","-","87","49"
"2023000000","","2023年","01693","","標津町","","22","4","71","-","-","1","-","-","-","-","22","7"
"2023000000","","2023年","01694","","羅臼町","","12","2","61","-","-","-","1","-","-","-","15","5"
"2023000000","","2023年","02000","","青森県","","5,696","488","20,835","12","4","66","75","14","11","3","3,326","1,665"
"2023000000","","2023年","02010","","市部","","4,600","384","15,438","9","2","57","65","11","10","1","2,732","1,325"
"2023000000","","2023年","02020","","郡部","","1,096","104","5,397","3","2","9","10","3","1","2","594","340"
"2023000000","","2023年","02201","","青森市","","1,278","102","4,225","2","-","15","21","5","5","-","749","367"
"2023000000","","2023年","02202","","弘前市","","826","58","2,741","1","-","17","8","-","-","-","481","226"
"2023000000","","2023年","02203","","八戸市","","1,149","110","3,348","2","-","14","15","3","3","-","690","318"
"2023000000","","2023年","02204","","黒石市","","141","8","554","-","-","-","6","-","-","-","84","44"
"2023000000","","2023年","02205","","五所川原市","","197","14","972","-","-","3","1","-","-","-","123","88"
"2023000000","","2023年","02206","","十和田市","","280","25","946","1","1","4","5","1","-","1","138","77"
"2023000000","","2023年","02207","","三沢市","","243","28","559","2","-","1","2","1","1","-","181","63"
"2023000000","","2023年","02208","","むつ市","","226","20","962","1","1","1","4","-","-","-","164","79"
"2023000000","","2023年","02209","","つがる市","","107","11","616","-","-","-","1","-","-","-","53","30"
"2023000000","","2023年","02210","","平川市","","153","8","515","-","-","2","2","1","1","-","69","33"
"2023000000","","2023年","02301","","平内町","","29","1","224","-","-","1","1","-","-","-","14","10"
"2023000000","","2023年","02303","","今別町","","4","-","73","-","-","-","-","-","-","-","4","1"
"2023000000","","2023年","02304","","蓬田村","","7","-","52","-","-","1","-","-","-","-","4","3"
"2023000000","","2023年","02307","","外ヶ浜町","","6","-","155","-","-","-","-","-","-","-","8","7"
"2023000000","","2023年","02321","","鰺ヶ沢町","","16","1","216","-","-","-","-","-","-","-","12","7"
"2023000000","","2023年","02323","","深浦町","","17","2","188","-","-","-","-","-","-","-","11","10"
"2023000000","","2023年","02343","","西目屋村","","9","1","43","-","-","1","-","-","-","-","2","1"
"2023000000","","2023年","02361","","藤崎町","","87","11","228","-","-","-","2","-","-","-","37","15"
"2023000000","","2023年","02362","","大鰐町","","18","3","186","1","-","-","-","-","-","-","15","7"
"2023000000","","2023年","02367","","田舎館村","","31","3","123","-","-","-","1","-","-","-","20","9"
"2023000000","","2023年","02381","","板柳町","","47","4","244","-","-","-","-","-","-","-","26","20"
"2023000000","","2023年","02384","","鶴田町","","36","3","209","-","-","2","2","1","1","-","22","19"
"2023000000","","2023年","02387","","中泊町","","30","3","228","-","-","-","1","-","-","-","14","7"
"2023000000","","2023年","02401","","野辺地町","","31","3","272","-","-","1","-","-","-","-","32","14"
"2023000000","","2023年","02402","","七戸町","","45","5","319","-","-","-","-","-","-","-","28","19"
"2023000000","","2023年","02405","","六戸町","","60","4","180","-","-","-","-","-","-","-","31","20"
"2023000000","","2023年","02406","","横浜町","","18","2","80","-","-","-","-","-","-","-","7","3"
"2023000000","","2023年","02408","","東北町","","72","3","319","-","-","-","-","-","-","-","35","20"
"2023000000","","2023年","02411","","六ヶ所村","","69","8","133","-","-","1","-","-","-","-","43","19"
"2023000000","","2023年","02412","","おいらせ町","","191","18","324","-","-","-","2","-","-","-","82","44"
"2023000000","","2023年","02423","","大間町","","26","3","100","1","1","-","-","1","-","1","19","8"
"2023000000","","2023年","02424","","東通村","","21","1","124","-","-","-","-","-","-","-","13","7"
"2023000000","","2023年","02425","","風間浦村","","1","-","44","-","-","-","-","-","-","-","2","4"
"2023000000","","2023年","02426","","佐井村","","10","-","41","-","-","-","-","-","-","-","4","-"
"2023000000","","2023年","02441","","三戸町","","39","8","163","-","-","-","1","-","-","-","18","8"
"2023000000","","2023年","02442","","五戸町","","50","6","364","-","-","-","-","-","-","-","25","18"
"2023000000","","2023年","02443","","田子町","","19","3","126","-","-","-","-","-","-","-","9","4"
"2023000000","","2023年","02445","","南部町","","57","4","366","-","-","1","-","-","-","-","31","16"
